date,time,location,operator,flight no,route,AC type,registration,cn/ln,aboard,passengers_on_aboard,crew_on_aboard,fatality,passengers_fatality,crew_fatality,ground_fatality,summary
"October 26, 1996",2045,"Khanty, Russia",Tyumen Aviatrans,?,Tyumen - Khanty,Yakovlev YAK-40,RA-88527,9711252,34.0,30.0,4.0,5.0,3.0,2.0,0,"In a heavy snowstorm, the aircraft landed short and right of the runway striking three Mil Mi-8 helicopters and bursting into flames."
"October 31, 1996",0827,"Sao Paolo, Brazil",TAM (Brazil),402,Sao Paulo - Rio de Janiero,Fokker 100,PT-MRK,11440,95.0,89.0,6.0,95.0,89.0,6.0,3,The aircraft crashed shortly after takeoff into a residential area striking a building. Uncommanded deployment of the thrust reverser on the right engine caused the plane to roll right and lose control.
"November 01, 1996",0810,"Near Tikal, Guatemala",Transported Areos Profesionales - TAPSA,?,Guatemala City - Flores,Embraer 110P1 Bandeirante,TG-TPA,110313,16.0,14.0,2.0,16.0,14.0,2.0,0,"The plane crashed into a mountain 1 hour after take off, at an altitude of 900 ft., in strong winds, while on approach to Santa Elena."
"November 07, 1996",1700,"Lagos, Nigeria",Aviation Development Corporation,086,Port Harcourt - Lagos,Boeing B-727-231,5N-BBF,20054/718,143.0,134.0,9.0,143.0,134.0,9.0,0,The plane crashed mid-way along its scheduled 50 minute route. The aircraft went into a roll and lost control after taking evasive action to avoid another aircraft. The plane was flying almost at the speed of sound when it crashed and disintegrated. ATC error. The controller thought he had cleared to aircraft to FL100 but the aircraft was still flying at FL240.
"November 07, 1996",0929,"Aubusson, France",Jetcom S.A.,?,Geneva - Bordeaux,Cessna 421C Golden Eagle,HB-LRX,421C02172,8.0,7.0,1.0,8.0,7.0,1.0,0,"The pilot reported that an engine failed just as he started to descend for a landing. He later informed ATC he could not feather the propeller. The  aircraft subsequently crashed and burned in a field.  The accident was due to inappropriate management of the flight following jamming of the propeller in an intermediate position after the right engine crankshaft ruptured. The inappropriate management was due to the pilots relative lack of experience on this aircraft type, his false notions about the aircrafts performance and about the existence of a flight level to maintain level flight with an unfeathered propeller and an heavy aircraft and a series of misjudged strategies to attempt to continue the flight then to land at Limoges when the aircrafts altitude no longer made this possible."
"November 12, 1996",1840,"Near Charkhi Dadri, India",Saudi Arabian Airlines / Kazakhstan Airlines,763/1907,New Delhi - Dhahran / Chimkent - New Delhi,Boeing B-747-168B / Ilyushin IL-76TD,HZ-AIH/UN-76435,22748/555/1023413428,349.0,316.0,33.0,349.0,316.0,33.0,0,"Midair collision 17 km W of New Delhi.  The Saudi 747 had just taken off from New Delhi airport ascending to 14,000 feet while the Il-76 was descending. Three hundred twelve aboard the B-747 and thirty-seven aboard the Il-76 were killed. The Il-76 descended below its assigned altitude. The death toll was reduced from 351 to 349 after Kazakstan Airlines reported 37 aboard rather than 39. Neither aircraft was equipped with an Airborne Collision Avoidance System. The 747 had taken off from Delhi and had been cleared to climb to FL140.  Meanwhile, the IL76, which was inbound to Delhi on the same airway, had been cleared to descend to FL150. However, due to a misunderstanding, the pilot and most of the cockpit crew of the IL76 believed the flight had been cleared to continue down to FL140. The Indian accident report attributed the failure of most of the IL76 crew to correctly understand the situation due to their lack of a working knowledge of English. Also contributing to the crew's decision to continue the descent below their clearance limit were poor cockpit resource management, a lack of leadership by the captain, a lack of co-ordination between the crew and a general casual attitude to the conduct of the flight."
"November 14, 1996",1302,"Bolchaïa Pyssa, Russia",Komi Avia,?,Most Pyssa - Koslan,Antonov AN-2,RA-40309,1G221-39,15.0,13.0,2.0,14.0,13.0,1.0,0,Lost altitude and crashed while en route in poor weather. Stall of the left wing due to icing.
"November 19, 1996",1701,"Quincy, Illinois",United Express  / Private,5925,"Burlington, IA - Quincy, IA",Beechcraft 1900-C / Beech King Air A90,N87GL / N1127D,UC-87 /,14.0,10.0,4.0,14.0,10.0,4.0,0,"While landing on Runway 13 at Baldwin Field, the United Express collided with the King Air which was taking off on Runway 4. The collision took place where the two runways intersect. Both planes caught fire and rescuers were unable to open the door to the Beech 1900-C because of impact damage. All twelve aboard the United Express and the two pilots aboard the King Air were killed. King Air pilots' failure to use proper communications and ""see-and-avoid"" procedures at an uncontrolled airport. Involvement of a third aircraft that transmitted unnecessary and inappropriate messages."
"November 22, 1996",1930,"Off Cape Mendocino, CA",Military - U.S. Air Force,?,"San Diego, CA - Portland, OR",Lockheed HC-130P Hercules,64-14856,4072,11.0,0.0,11.0,10.0,0.0,10.0,0,"Crashed 60 miles west of Cape Mendocino in the Pacific Ocean. The crew reported losing an engine, followed by complete electrical failure."
"November 23, 1996",1515,"Off Mitsamiouli, Comoros",Ethiopian Airlines,961,Addis Ababa - Nairobi,Boeing B-767-260ER,ET-AIZ,23916/187,175.0,163.0,12.0,127.0,117.0,10.0,0,"The aircraft was hijacked shortly after taking off from Ethiopia by three drunken escaped prisoners. They demanded to be flown to Australia, but wouldn't let the pilot stop to refuel. The plane eventually ran out of fuel and ditched 500 feet offshore of Le Galawa Beach on the island of Grand Comoros. When it was aparent the plane was out of fuel, the hijackers fought the pilot for control of the aircraft. In the last seconds aloft, the left wing tip struck the water and the plane crashed into the sea flipping at least once before breaking into several  parts. The water was shallow but many passengers had inflated their safety vests which prevented them from swimming out from under the cabin and they drowned."
"November 27, 1996",1154,"Abakan, Siberia, Russia",Military - Russian Air Force,?,Abakan - Petropavlosk - Kamchatsky,Ilyushin IL-76MD,RA-76804,0093492278,23.0,19.0,4.0,23.0,19.0,4.0,0,The aircraft crashed shortly after takeoff. Overloaded.
"November 30, 1996",1033,"Medellin, Colombia",ACES Colombia,148,Medellin - Bahia Solano,de Havilland Canada DHC-6 Twin Otter 300,HK-2602,746,15.0,13.0,2.0,14.0,12.0,2.0,0,The aircraft crashed into a mountain 5 minutes after takeoff. The plane stalled while trying to clear a mountain.  Overloaded.
"December 07, 1996",1523,"Banjarmasin, Indonesia",Dirgantara Air Services,?,Banjarmasin - Sampit,CASA 212 Aviocar 100,PK-VSO,152/26N,17.0,15.0,2.0,16.0,14.0,2.0,2,"After experiencing a No.2 engine fire and while attempting to return to the airport, the aircraft's wing struck a building short of the runway."
"December 09, 1996",1803,"Boise, Idaho",Emery Worldwide,?,Boise - Salt Lake City,Douglas C-47A,N75142,9173,2.0,0.0,2.0,2.0,0.0,2.0,0,"Shortly after takeoff  the crew reported they had the right engine on fire. They attempted to return for an emergency landing but the cargo plane crashed right wing low, cartwheeled and burst into flames short of the runway. A fire within the right engine compartment of undetermined cause and the pilot-in-command's failure to maintain airspeed above the aircraft's minimum control speed. A factor contributing to the accident was the dark night environmental conditions"
"December 17, 1996",?,"Tver, Russia",Military - Russian Air Force,?,St. Petersburg - Krasnodar,Antonov AN-12,?,?,18.0,11.0,7.0,18.0,11.0,7.0,0,Crashed 8km from the airfield after taking off in strong winds and heavy snow.
"December 21, 1996",2232,"Rio Negro, Colombia",SELVA,?,Bogota - Medellin,Antonov An-32B,HK-4008X,3402,4.0,1.0,3.0,4.0,1.0,3.0,0,The cargo plane crashed short of the runway while attempting to land.
"December 22, 1996",1810,"Narrows, Virginia",Airborne Express,827,Test flight,McDonnell Douglas DC-8-63F,N827AX,45901/293,6.0,3.0,3.0,6.0,3.0,3.0,0,"The cargo plane struck mountainous terrain after experiencing a stall during tests. The inappropriate control inputs applied by the flying pilot during a stall recovery attempt, the failure of the non-flying pilot-in-command to recognize, address and correct these inappropriate control inputs, and the failure of Airborne Express to establish a formal, functional evaluation flight program that included adequate program guidelines, requirements and pilot training for performance of these flights. Contributing to the cause of the accident were the inoperative stick shaker stall warning system and Airborne Express DC-8 flight training simulator's inadequate fidelity in reproducing the airplane's stall characteristics."
"December 24, 1996",1500,"Near Nellore, India",Military - Indian Air Force,?,Tanbaram AFB - Hyderabad,Hindustan Aeronautics 748-2,H1032,528,22.0,17.0,5.0,22.0,17.0,5.0,0,Crashed while en route after the pilot reported an engine fire. Undetected cracks in the engine not detected during routine maintenance.
"December 24, 1996",1005,"Dorchester, New Hampshire",Aircraft Charter Group Inc,?,"Bridgeport, CT - Lebanon, NH",Learjet 35A,N388LS,35-388,2.0,0.0,2.0,2.0,0.0,2.0,0,"The cargo plane was on a positioning flight when it struck rising terrain while making an approach to land. The captain's failure to maintain situational awareness, which resulted in the airplane being outside the confines of the instrument approach; and the crew's misinterpretation of a step-down fix passage, which resulted in an early descent into rising terrain. Factors included the captain's misreading of the instrument approach procedure, the crew's rushed and incomplete instrument approach briefing, their failure to use additional, available navigational aids, and their failure to account for the winds at altitude."
"January 07, 1997",1100,"Near Moamoa, Samoa",Polynesian Airlines,211,Pago Pago - FagaliI,de Havilland Canada DHC-6 Twin Otter 300,5W-FAU,678,5.0,3.0,2.0,3.0,2.0,1.0,0,Crashed onto a mountin in high winds and rain after being diverted from another airport.
"January 09, 1997",1554,"Near Monroe, Michigan",Comair,3272,Cincinnati - Detroit,Embraer 120RT Brasilia,N265CA,120257,29.0,26.0,3.0,29.0,26.0,3.0,0,"While on approach and attempting to land on runway 3R at Detroit Metropolitan Wayne County Airport, in a snowstorm, the aircraft went into a steep dive and crashed into a field. The accident was caused by the FAA's failure to establish adequate aircraft certification standards for flight in icing conditions.  Contributing to the accident were the flightcrew's decision to operate in icing conditions near the lower margin of the operating airspeed envelope (with flaps retracted), and Comair's failure to establish and adequately disseminate unambiguous minimum airspeed values for flap configurations and for flight in icing conditions. In addition, Embraer's manual for the aircraft specified correctly that the deicing boots should be activated as soon as icing occured.  But the pilots were trained by Comair's manual, which specified waiting until ice was about 1/2 inch thick."
"January 29, 1997",2310,"Sparrevohn, Alaska",Southcentral Air,?,St. Marys - Kenai,de Havilland Canada DHC-4A Caribou,N702SC,126,2.0,0.0,2.0,1.0,0.0,1.0,0,"While en rote the plane experienced engine trouble. The crew decided to divert to Sparrevohn. While attempting to land the plane encountered strong turbulence from surrounding mountains. Although full power was applied to the good engine the plane crashed into terrain. Loss of the right engine propeller control oil, which led to an overspeed of the right engine and propeller, and necessitated a shut-down of the right engine; and failure of the pilot to maintain adequate altitude/distance from terrain during visual approach for a precautionary landing at an alternate airport. Factors relating to the accident were: fluctuation of the left engine power, premature lowering of the airplane flaps, and an encounter with adverse weather conditions (including high winds, severe turbulence, and white-out conditions) during the approach."
"January 31, 1997",?,"Yola, Nigeria",Skypower Express Airways,?,Jos - Yola,Embraer 110P1A Bandeirante,5N-AXS,110458,16.0,13.0,3.0,5.0,2.0,3.0,0,After being in a holding pattern for over an hour the plane hit trees and a  power line and crashed 700m short of the runway. Failure to maintain the aircraft above the Minimum Descent Altitude while the aircraft was not positioned in the final landing phase.
"February 01, 1997",1438,"Tambacoumba, Senegal",Air Senegal,?,Tambacounda - Dakar,Hawker Siddeley HS-748-353 Srs.2a,6AV-AEO,1769,52.0,49.0,3.0,25.0,22.0,3.0,0,The aircraft crashed shortly after taking off fromTambacoumba after losing power in the left engine. Fuel contamination.
"February 02, 1997",1730,"Near Quiangala, Angola",Force Area Populaire de Angola,?,Luanda - Cafunfo,CASA 212 Aviocar 200,T-400,325,37.0,33.0,4.0,37.0,33.0,4.0,0,The plane took off from Luanda bound for Cafunfo in northeastern Angola when it disappeared en route.  Witnesses later stated the plane appeared to be in trouble and flying at a low altitude before it crashed.
"February 04, 1997",1900,Northern Israel,Military - Israel Air Force /Military -  Israel Air Force,?,?,Sikorsky CH53D / Sikorsky CH53D,357 / 903,?,73.0,,,73.0,,,0,The two military helicopters crashed into each other while taking off in darkness killing all aboard.
"February 14, 1997",1234,"Carajas, Brazil",Varig,265,Maraba - Carajas,Boeing B-737-2C3,PP-CJO,21013/393,52.0,46.0,6.0,1.0,0.0,1.0,0,The aircraft touched down hard. The right main landing gear collapsed causing the plane to veer to the right and end up in a wooded area. The first officer was killed.
"February 19, 1997",0306,"Guatemala City, Guatemala",Transpolar,?,"Lima, Peru - Guatemala City, Guatemala",IAI 1124 Westwind,YV-160CP,211,5.0,4.0,1.0,5.0,4.0,1.0,0,Flew into a mountain while on approach.
"March 12, 1997",?,"Lucapa, Angola",ALADA,?,Luanda - Lucapa,Antonov AN-12B,D2-FVG,6344506,16.0,12.0,4.0,16.0,12.0,4.0,0,Crashed short of the runway in dense fog while attempting to land a second time at Lucapa.
"March 13, 1997",1806,"Near Mashhad, Iran",Military - Iranian Air Force,?,Dezful - Mashhad,Lockheed C-130HF,?,?,88.0,80.0,8.0,88.0,80.0,8.0,0,The plane was carrying military personnel and their families and crashed 24 miles NE of Mashhad in the Binalud Heights. The pilot reported engine failure prior the crash.
"March 18, 1997",1004,"Cherkessk, Russia",Stavropol Airlines,1023,Stavropol - Trabzon,Antonov AN-24RV,RA-46516,37308502,50.0,44.0,6.0,50.0,44.0,6.0,0,"The aircraft lost altitude from FL 197 and crashed into a forest while en route from Stavropol, Russia to Trabzon, Turkey. Reports indicated that an in-flight  fire and an explosion led to the separation of the tail section prior to the crash. Superficial mechanical inspection of the aircraft which was carried out without the use of monitoring instruments and subsequent unjustified decision to extend the time between overhauls.  Inadequate monitoring to determine the state of structural elements and detect the presence of corrosion in hard-to-reach areas under the floor of the fuselage. Failure to carry out prescribed anti-corrosion measures on the aircraft structure during overhaul."
"April 01, 1997",?,"Tegucigalpa, Honduras",Military - U.S. Air Force,?,Howard AFB - Tegucigalpa,Lockheed C-130H Hercules,88-4408,5161,10.0,,,3.0,,,0,"While landing the aircraft overran the runway, hit a concrete drainage ditch, when through a fence and came to rest on a highway where it caught fire."
"April 04, 1997",0016,"Griffin, Georgia",Custom Air Service,?,Griffin - Americus,Aviation Traders ATL-98 Carvair,N83FA,10365,2.0,0.0,2.0,2.0,0.0,2.0,0,"On a positioning flight, while taking off the plane suffered engine failure, overran the runway and crashed into a vacant building."
"April 10, 1997",2030,"Near Wainwright, Alaska",Hageland Aviation Services,502,Barrow - Wainwright,Cessna 208B Caravan I,N408GV,208B-0455,5.0,4.0,1.0,5.0,4.0,1.0,0,After making two approaches the pilot decided to head back to the departure airport. He flew north at an altitude beneath minimum radar coverage. The plane impacted the frozen Arctic Ocean in a right bank and at a 60 degree nose-down attitude. The pilot's intentional VFR flight into instrument meteorological conditions and his failure to maintain altitude and clearance from terrain. A contributing factor was the weather conditions.
"April 14, 1997",?,"Brazzaville, Democratic Republic Congo",TAAG Angola Airlines,?,Brazzaville - Luanda,Fokker F-27 Friendship 600,D2-TFP,10424,7.0,4.0,3.0,3.0,0.0,3.0,0,The cargo plane became airborne but soon lost altitude and crashed to the ground and burst into flames.
"April 15, 1997",?,"Gyandzha, Azerbaijan",Azerbaijan Airlines,?,Training,Yakovlev 40,4K-87504,9510640,6.0,0.0,6.0,6.0,0.0,6.0,0,"A stray bullet from training soldiers struck the landing plane, hitting an oxygen cylinder. A fire broke out and control of the plane was lost and it crashed."
"April 16, 1997",?,"Near Sorei, Niger",Military - Niger Air Force,?,Lome - Niamey,Lockheed C-130H Hercules,5U-MBD,4829,14.0,,,14.0,,,0,Crashed after an engine fire.
"April 19, 1997",0739,"Tanjung Pandan, Indonesia",Merpati Nusantara Airlines,106,Jakarta - Tanjung Pandan,British Aerospace ATP,PK-MTX,2048,53.0,48.0,5.0,15.0,11.0,4.0,0,"During the final stage of a visual approach, one of the aircraft's engines failed. The crew failed to correctly identify the problem and because of the flight regime, the propeller did not autofeather. The approach was continued, however, as the aircraft descended through about 2,000ft., power was applied at the start of a go-around. Control was lost and the aircraft crashed."
"April 23, 1997",1800,"Near Konduz, Afghanistan",Military - Afghan Republican Air Force,?,?,Antonov AN-26,?,?,36.0,,,36.0,,,0,The transport crashed into a mountain.
"May 08, 1997",2128,"Huangtian, China",China Southern Airlines,3456,Chongqing - Shenzen,Boeing B-737-31B,B-2925,27288/2577,74.0,65.0,9.0,35.0,33.0,2.0,0,"The aircraft touched down hard, causing the nosegear to collapse. The pilot chose to to go-around. The aircraft climbed away but shortly after, the pilot declared an emergency and attempted to land on the runway in the opposite direction. The aircraft crashed on the runway, broke up and caught fire.The accident happened in poor weather with heavy rain associated with local thunderstorm activity."
"June 06, 1997",0735,"Near Irumu, Congo",Bazair,?,Bunia - Kisangani,Vickers Viscount 781D,9Q-CWL,280,27.0,20.0,7.0,27.0,20.0,7.0,0,Crashed shortly after taking off. Fire in the cabin.
"June 10, 1997",?,"Mandalgobi, Mongolia",MIAT - Mongolian Airlines,?,Ulan Bator - Mandalgobi,Harbin Yunshuji Y-12 II,JU-1020,6,12.0,10.0,2.0,7.0,7.0,0.0,0,The aircraft crashed while attemping to land. Windshear. Lack of windshear equipment at the airport.
"July 03, 1997",0349,"Madh Island, India",Elbee Airlines,?,Mumbai - Banglaor,Fokker F-27 Friendship 200,VT-SSA,10670,2.0,0.0,2.0,2.0,0.0,2.0,0,Shortly after taking off the cargo plane crashed into the ocean. The pilot lost control when he encountered severe weather conditions soon after taking off.
"July 06, 1997",?,"Near Saravena, Colombia",Military - Colombian Army,?,?,Mil Mi-17 (helicopter),?,?,29.0,25.0,4.0,25.0,21.0,4.0,0,Shot down by rebels.
"July 09, 1997",0930,"Suzano, Brazil",TAM (Brazil),283,Sao Jose dos Campos - Congonhas,Fokker 100,PT-WHK,11440,60.0,55.0,5.0,1.0,1.0,0.0,0,An explosion caused explosive decompression and a six-foot hole in the side of the fuselage. One passenger was sucked out and killed.  A small bomb containing only 7 ounces of explosives was placed under a passenger seat.  It is reported that the police believed the bomb was planted as part of a failed suicide attempt by one of the passengers.
"July 11, 1997",2155,"Off Santiago de Cuba, Cuba",Cubana de Aviacion,787,Santiago de Cuba - Havana,Antonov AN-24,CU-T1262,27307610,44.0,39.0,5.0,44.0,39.0,5.0,0,The plane crashed into the ocean 4 miles off the coast shortly after takeoff. Possible failure of the left engine during takeoff.
"July 17, 1997",1156,"Bandung, Indonesia",Sempati Air,304,Bangdung - Jakarta,Fokker F-27 Friendship 600,PK-YPM,10415,50.0,45.0,5.0,30.0,25.0,5.0,0,"The aircraft developed engine trouble (left engine caught on fire) shortly after taking off.  While attempting to make an emergency landing at Sulaiman AFB, the plane clipped roof tops of a housing project and crashed into a nearby field."
"July 18, 1997",1032,"Goroka,  New Guinea",Goroka Air Services,?,Chimbu - Goroka,de Havilland Canada DHC-6 Twin Otter 300,P2-MMU,250,4.0,3.0,1.0,2.0,1.0,1.0,0,Crashed into Mt. Yasirua in poor weather. Navigational error. No published instrument flying procedures. No GPS used for primary navigation.
"July 29, 1997",?,"Calabar , Nigeria",ADC Airlines,?,Lagos - Calabar,BAC One-Eleven 203AE,5N-BAA,041,55.0,49.0,6.0,1.0,0.0,1.0,0,Overshot the runway in heavy rain and came to rest in brush.
"July 30, 1997",1030,"Florence, Italy",Air Littoral,701,Nice - Florence,Aerospatiale ATR-42-512,F-GPYE,492,17.0,14.0,3.0,1.0,0.0,1.0,0,"The aircraft touched down at excessive speed, far down the runway threshold, bounced twice and overran the runway."
"August 06, 1997",0142,"Agana, Guam",Korean Airlines,801,Seoul - Guam,Boeing B-747-300,HL-7468,22487/605,254.0,231.0,23.0,228.0,206.0,22.0,0,"The aircraft crashed into Nimitz Hill, 3 miles short of Runway 06R, while making a non-precision approach in heavy rain to A.B. Won Guam International Airport. The runway glide slope system was inoperative. In addition, the Minimum Safe Altitude Warning system (MSAW) was also not working due to a software problem. The captains failure to adequately brief and execute the non-precision approach and the first officer's and flight engineer's failure to effectively monitor and cross-check the captains execution of the approach. Contributing to these failures were the captain's fatigue and Korean Air's  inadequate flight crew training. Contributing to the accident was the Federal Aviation Administration's (FAA) intentional inhibition of the MSAW at Guam and the agency's failure to adequately manage the system."
"August 07, 1997",1236,"Miami, Florida",Fine Air,101A,Miami - Santo Domingo,McDonnell Douglas DC-8-61F,N27UA,45942/349,4.0,1.0,3.0,4.0,1.0,3.0,1,"Immediately after taking off the plane went into a nose-high attitude, stalled and crashed to the ground. The probable cause of the accident, which resulted from the airplane being misloaded to produce a more aft center of gravity and a correspondingly incorrect stabilizer trim setting that precipitated an extreme pitch-up at rotation, was (1) the failure of Fine Air to exercise operational control over the cargo loading process and  (2) the failure of Aeromar to load the airplane as specified by Fine Air. Contributing to the accident was the failure of the FAA to adequately monitor Fine Airs operational control responsibilities for cargo loading and the failure of the FAA to ensure that known cargo-related deficiencies were corrected at Fine Air."
"August 10, 1997",0815,"Matsu Island, Taiwan",Formosa Airlines,7601,Taipei - Matsu,Dornier DO-228-212,B-12256,8220,16.0,14.0,2.0,16.0,14.0,2.0,0,The aircraft flew into a mountain and exploded in flames after a missed approach and while executing a go-around in rain and high winds. The pilot turned right instead of left when initiating the go-around.
"August 29, 1997",?,"Puerto Inirida, Venezuela",SATENA,?,San Felipe - Puerto Inirida,Pilatus PC-6 Turbo Porter / Cessna 206,FAC1115,820,12.0,10.0,2.0,12.0,10.0,2.0,0,Collided with a Cessna 206 (OB-1450) and crashed 3 miles from the airfield. Six killed on the Pilatus and 6 on the Cessna
"September 03, 1997",1400,"Phnom Penh, Cambodia",Vietnam Airlines,815,Ho Chi Minh City - Phnom Penh,Tupolev TU-134,VN-A120,66360,66.0,60.0,6.0,65.0,59.0,6.0,0,"The plane was on a flight from Ho Chi Minh City to Phnom Penh when it crashed while making an approach to Pochentong International Airport in heavy rain. The plane clipped palm trees and exploded in flames after crashing into a rice paddy, one-half mile from the runway. The only survivor was a one-year-old boy. Pilot error. The captain failed to heed the warnings of the flight engineer and first officer that the plane was flying too low and failed to abort the landing."
"September 06, 1997",1944,"Near Miri, Malaysia",Borneo Airways,238,Bandar Seri Begawan - Miri,Dornier 228-212,9M-MIA,8217,10.0,8.0,2.0,10.0,8.0,2.0,0,Struck tree tops and crashed into Lambir Hill while on approach to land at Miri.
"September 12, 1997",?,"Near Uvira, Zaire",TMK Air Commuter,?,Buknavu - Uvira,de Havilland Canada DHC-6 Twin Otter 300,9Q-CBO,735,22.0,21.0,1.0,22.0,21.0,1.0,0,The aircraft was destroyed when it flew into a hillside during an approach to Uvira.
"September 13, 1997",1710,"Off Namibia, Africa",Military - Luftwaffe / Military - USAF,74,Niamey - Windhoek,Tupolev TU-154M / C-141 Starlifter,1102/65-9405,89A-813,33.0,23.0,10.0,33.0,23.0,10.0,0,"Midair collision at 39,000 ft. The Tupolev 154 aircraft was flying at the wrong cruise altitude which caused the midair collision. Twenty-four killed aboard the Tupolev and 9 aboard the C-141. Contributing factors included weak flight-following procedures of the Luanda ATC and  poor regional ground communications."
"September 26, 1997",1334,"Buah Nabar, Indonesia",Garuda Indonesia Airlines,152,Jakarta - Medan,Airbus A300-B4-200,PK-GAI,214,234.0,222.0,12.0,234.0,222.0,12.0,0,The aircraft crashed into mountainous terrain 15 minutes before it was due to land at Medan on a flight from Jakarta. The aircraft crashed 20 miles from the airport. Combination of ATC errors in directing the plane in the wrong direction into mountainous terrain and the crew setting and using their instruments incorrectly. Contributing to the accident was impared visibility due to smoke from forest fires in the area.
"October 08, 1997",0723,"Near Montrose, Colorado",Scenic Airlines,-,"Montrose, CO - Page, AZ",Cessna 208B Caravan I,N12022,208B-0432,9.0,8.0,1.0,9.0,8.0,1.0,0,"Collided with terrain at the 9,900 foot level on the Uncompahgre Plateau. The pilot's failure to maintain sufficient airspeed for undetermined reasons while maneuvering the airplane near maximum gross weight and aft center of gravity in or near instrument meteorological conditions, which resulted in a loss of control and entry into a stall/spin."
"October 10, 1997",2223,"Nuevo Berlin, Uruguay",Austral Lineas Aeras (Argentina),2553,Posadas - Buenos Aires,McDonnell Douglas DC-9-32,LV-WEG,47446/561,74.0,69.0,5.0,74.0,69.0,5.0,0,"The aircraft crashed  near Nuevo Berlin, a town on the banks of the Uruguay River, after changing its route to avoid heavy rain and hail. A crater 25 feet deep crater was created where the plane crashed into the earth.  Icing of the pitot tubes. The pitot tubes froze after the aircraft passed through 49,000 ft. giving false speed readings leading to loss of control of the aircraft."
"October 10, 1997",?,"Taipei, Taiwan",Military - Republic of China Air Force,?,?,Lockheed C-130H Hercules,1310,5067,5.0,0.0,5.0,5.0,0.0,5.0,0,Crashed in poor weather after a go-around.
"October 12, 1997",1728,"Monterey Bay, near Pacific Grove, California",Private,-,?,Rutan Long EZ (experimental aircraft),N555JD,54,1.0,0.0,1.0,1.0,0.0,1.0,0,"The aircraft had just finished performing 3 touch-and-go landings at Monterey Peninsula Airport. Shortly after taking off a fourth time, witnesses heard the engine make popping noises, bank to the right, pitch up, and go into a steep dive from about a  500 foot altitude and crash into the sea about 150 yards offshore. Singer John Denver, 53, who was piloting the plane, was killed. Denver, an experienced pilot with over 2,800 flying hours, had only a little over an hour in the experimental plane. The accident was caused by the inadvertent application of right rudder by the pilot as he attempted to manipulate the fuel selector handle. The unmarked fuel selector handle in this aircraft was located in a hard to reach area behind the pilot's left shoulder, instead of between his legs. This required removing his harness and reaching behind. While turning around, he inadvertently pressed down on the plane's right rudder pedal causing the aircraft to roll and go into a dive.  Contributing factors were, Denver took off with too little fuel in one tank which led to the necessity of switching to his backup tank. Also it was difficult to determine how much fuel was in the tanks due to the unmarked fuel quantity sight gauge."
"October 29, 1997",?,"Jalal-Abad, Afghanistan",Ariana Afghan Airlines,?,?,Yakovlev YAK-40,YA-KAE,9441037,26.0,20.0,6.0,2.0,2.0,0.0,0,Crashed during a landing attempt.
"November 08, 1997",0808,"Near Barrow, Alaska",Hageland Aviation Services,500,Barrow - Wainwright,Cessna 208B Caravan I,N750GC,208B-0504,8.0,7.0,1.0,8.0,7.0,1.0,0,"A few minutes after takeoff a distress call was received from the aircraft after which it ditched into the sea 200 yards offshore. The pilot's disregard for lateral fuel loading limits, his improper removal of frost prior to takeoff, and the resulting inadvertent stall/spin. Factors involved in this accident were the improper asymmetrical fuel loading which reduced lateral aircraft control, the self-induced pressure to takeoff on time by the pilot, and inadequate surveillance of the company operations by company management."
"December 05, 1997",1446,"Irkutsk-2, Russia",Military - Russian Air Force,?,Irkutsk - Vladivostok,Antonov AN-124-100,RA-82005/08,4516003,23.0,17.0,6.0,23.0,17.0,6.0,44,"The military aircraft, bound for Vladivostok, crashed into a residential neighborhood twenty seconds after taking off. All four engines failed after the computer system began shutting them down shortly after takeoff.  Design flaw which led to uncoordinated operation of the high-pressure compressors."
"December 09, 1997",1526,"Little Grand Rapids, Canada",Sowind Air,301,Winnipeg - Little Grand Rapids,Embraer 110P1 Bandeirante,C-GVRO,110285,17.0,15.0,2.0,4.0,3.0,1.0,0,"Crashed during the second approach right of the approach path. While the aircraft was being manoeuvred at a very low level in marginal weather, it descended after an abrupt turn and flew, in controlled flight, into the terrain. Crew procedural error. The aircraft was 1,000 pounds heavier than the maximum allowable weight.  The GPS installed in aircraft was not approved as a primary navigational aid."
"December 13, 1997",1705,"La Veriente, Bolivia",STAP,?,Villamontes - Santa Cruz,Swearingen SA-226T Metro II,CP-1635,TC-359,19.0,17.0,2.0,10.0,9.0,1.0,0,"During take off, shortly after the landing gear was retracted, one of the aircraft's engines lost power and the propeller autofeathered. The aircraft rolled to the right, struck trees and crashed inverted."
"December 15, 1997",1835,"Sharjah, United Arab Emirates",Tajikistan Airlines,3183,Dushanbe - Sharjah,Tupolev TU-154,EY-85281,78A-281,86.0,77.0,9.0,85.0,77.0,8.0,0,The aircraft crashed and burned while making an attempt to land. A number of errors by the crew resulted in the acccident. Not maintaining the height indicated during the last contact with the ATC. Not following instructions from the ATC. Crew fatigue and turbulence in the area contributed to the accident.
